"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7611","Checks the ""Overview"" page is available","firefox","Sun Nov 24 22:40:58 IST 2024","passed","Sun Nov 24 22:41:06 IST 2024","","redmine.spec.js","",""
"","5505","Checks users activity of specific user (Go MAEDA), using filters and dropdown menu","firefox","Sun Nov 24 22:41:06 IST 2024","failed","Sun Nov 24 22:41:11 IST 2024","","redmine.spec.js","",""
"","3968","Checks that the search bar shows relevant results","chromium","Sun Nov 24 22:40:21 IST 2024","passed","Sun Nov 24 22:40:25 IST 2024","","redmine.spec.js","",""
"","2263","Checks downloading redmine, version redmine-5.0.10","chromium","Sun Nov 24 22:40:36 IST 2024","passed","Sun Nov 24 22:40:39 IST 2024","","redmine.spec.js","",""
"","9507","Checks the ""Overview"" page is available","webkit","Sun Nov 24 22:41:37 IST 2024","passed","Sun Nov 24 22:41:46 IST 2024","","redmine.spec.js","",""
"","11428","Logs in","chromium","Sun Nov 24 22:40:11 IST 2024","failed","Sun Nov 24 22:40:23 IST 2024","","redmine.spec.js","",""
"","15554","Finds a ticket #41785 in the feature section","webkit","Sun Nov 24 22:41:40 IST 2024","failed","Sun Nov 24 22:41:55 IST 2024","","redmine.spec.js","",""
"","9594","Logs in","webkit","Sun Nov 24 22:41:25 IST 2024","failed","Sun Nov 24 22:41:35 IST 2024","","redmine.spec.js","",""
"","5370","Checks downloading redmine, version redmine-5.0.10","webkit","Sun Nov 24 22:41:55 IST 2024","passed","Sun Nov 24 22:42:01 IST 2024","","redmine.spec.js","",""
"","10709","Finds a ticket #41785 in the feature section","chromium","Sun Nov 24 22:40:25 IST 2024","failed","Sun Nov 24 22:40:36 IST 2024","","redmine.spec.js","",""
"","6799","Checks downloading redmine, version redmine-5.0.10","firefox","Sun Nov 24 22:41:14 IST 2024","passed","Sun Nov 24 22:41:21 IST 2024","","redmine.spec.js","",""
"","11247","Registration","webkit","Sun Nov 24 22:41:21 IST 2024","passed","Sun Nov 24 22:41:33 IST 2024","","redmine.spec.js","",""
"","16217","Finds a ticket #41785 in the feature section","firefox","Sun Nov 24 22:41:00 IST 2024","failed","Sun Nov 24 22:41:17 IST 2024","","redmine.spec.js","",""
"","6763","Checks that the search bar shows relevant results","firefox","Sun Nov 24 22:40:51 IST 2024","passed","Sun Nov 24 22:40:58 IST 2024","","redmine.spec.js","",""
"","5299","Checks the ""Overview"" page is available","chromium","Sun Nov 24 22:40:25 IST 2024","passed","Sun Nov 24 22:40:31 IST 2024","","redmine.spec.js","",""
"","13175","Registration","firefox","Sun Nov 24 22:40:37 IST 2024","passed","Sun Nov 24 22:40:51 IST 2024","","redmine.spec.js","",""
"","7261","Checks that the search bar shows relevant results","webkit","Sun Nov 24 22:41:33 IST 2024","passed","Sun Nov 24 22:41:40 IST 2024","","redmine.spec.js","",""
"","6793","Checks users activity of specific user (Go MAEDA), using filters and dropdown menu","webkit","Sun Nov 24 22:41:47 IST 2024","failed","Sun Nov 24 22:41:53 IST 2024","","redmine.spec.js","",""
"","9401","Registration","chromium","Sun Nov 24 22:40:11 IST 2024","passed","Sun Nov 24 22:40:21 IST 2024","","redmine.spec.js","",""
"","3514","Checks users activity of specific user (Go MAEDA), using filters and dropdown menu","chromium","Sun Nov 24 22:40:31 IST 2024","failed","Sun Nov 24 22:40:34 IST 2024","","redmine.spec.js","",""
"","14443","Logs in","firefox","Sun Nov 24 22:40:42 IST 2024","failed","Sun Nov 24 22:40:56 IST 2024","","redmine.spec.js","",""
